Area_sqft,Bedrooms,Age_years,Distance_km,Price
2454,5,13,12.2,141190
1817,3,6,5.4,114754
2974,6,6,18.8,187965
1617,5,14,16.0,102459
4168,5,14,3.5,235981
3122,4,6,19.0,178649
3574,2,31,6.7,153845
1903,6,1,8.8,144108
2988,2,30,10.6,129481
3280,5,4,7.5,193994
3729,3,29,12.1,173040
2861,3,3,2.6,159068
2740,5,6,18.8,140337
1385,4,1,7.9,85700
2943,5,13,18.0,145480
3423,3,29,5.5,182480
4179,3,23,18.9,208504
1028,3,10,12.4,64058
1309,2,8,3.3,68112
1527,5,10,18.5,93012
3956,5,15,17.0,200481
4168,4,12,13.7,233498
1978,2,4,7.1,111555
2434,4,26,8.0,138412
2988,2,12,17.7,141094
3755,5,29,5.0,207164
3476,4,7,17.5,183923
1695,3,25,6.3,76051
2593,5,17,1.9,165304
3604,4,31,10.9,182081
2565,4,27,19.4,113397
1956,5,29,4.3,125525
1609,4,1,13.5,98959
1591,3,17,13.3,75054
2472,4,26,0.6,159976
2978,3,1,10.7,153718
2893,5,14,5.6,184667
2717,6,34,12.7,154241
1620,2,7,16.2,60000
3177,2,4,8.6,168747
3082,6,19,4.3,181810
4050,5,26,15.9,209904
2687,4,9,17.6,151815
3645,5,27,11.5,190020
2273,4,14,5.8,141627
1552,5,31,13.5,73148
2977,3,30,10.7,132827
2150,5,5,7.0,123758
3133,6,18,12.9,186411
2495,4,11,3.2,136462
2427,2,4,7.2,124220
3074,4,11,16.8,145668
3648,5,15,16.2,186278
2785,3,18,5.9,154031
1089,6,13,15.6,73629
3674,4,35,2.1,186992
3768,3,9,3.4,194069
935,6,25,3.7,80375
3318,6,11,7.1,191111
2202,5,13,6.5,129333
